,Date,mtt_signal,mansfield_rs,minervini_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分
603,2024-08-02,0,-31.24779366479846,-29.07497063492076,False,False,False,True,0,3523000,2484,出前館,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）
604,2024-08-02,0,-0.8766992634376636,-2.2439045708893235,False,False,False,True,0,83100,2485,ティア,サービス業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）
605,2024-08-02,0,1.508885203594601,-3.2616899775516717,False,False,False,True,0,3900,2487,ＣＤＧ,サービス業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）
606,2024-08-02,0,2.866044548320068,1.1599592938959136,False,False,False,True,0,33400,2488,ＪＴＰ,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）
607,2024-08-02,0,-30.450446704206513,-34.91231385017559,False,True,False,True,0,225700,2489,アドウェイズ,サービス業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）
608,2024-08-02,0,-10.594632557659656,-11.78536445909236,False,False,False,True,0,207300,2491,バリューコマース,サービス業,情報通信・サービスその他,TOPIX Small 2,プライム（内国株式）
609,2024-08-02,0,-30.920472376538488,-27.73104697283617,False,True,False,True,0,2368300,2492,インフォマート,サービス業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）
610,2024-08-02,0,-0.7411430597202506,-3.5278288577169206,False,False,False,True,0,28800,2493,イーサポートリンク,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）
611,2024-08-02,0,-10.32691716959675,-12.226249418870635,False,True,False,True,0,174400,2497,ユナイテッド,サービス業,情報通信・サービスその他,-,グロース（内国株式）
612,2024-08-02,0,5.736289546756246,2.479988092720147,False,False,True,False,4100,0,2498,オリエンタルコンサルタンツホールディングス,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）
613,2024-08-02,0,-5.28300117148095,-3.377693906867312,False,False,False,True,0,12100,2499,日本和装ホールディングス,サービス業,情報通信・サービスその他,-,スタンダード（内国株式）
614,2024-08-02,0,0.9353377732156609,15.398014141182067,False,False,False,True,0,288400,2501,サッポロホールディングス,食料品,食品,TOPIX Mid400,プライム（内国株式）
615,2024-08-02,0,-5.220231622079474,-5.799752256961089,False,False,False,True,0,2879900,2502,アサヒグループホールディングス,食料品,食品,TOPIX Large70,プライム（内国株式）
616,2024-08-02,0,-2.9790317670528976,-6.244117875577511,False,False,False,True,0,3801800,2503,キリンホールディングス,食料品,食品,TOPIX Large70,プライム（内国株式）
