Date,Adj Close,mtt_condition,mtt_on,mtt_off,mansfield_rs,minervini_rs,dorsey_rs,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline,st_fast_dir,st_slow_dir,code,銘柄名,33業種区分,17業種区分,規模区分,市場・商品区分,日経平均構成銘柄,mansfield_rsi,minervini_rsi
2024-08-07,6480.0,1,1,0,32.91013454582916,48.201307146220564,,False,False,True,False,87800,0,-1,1,2585,ライフドリンク　カンパニー,食料品,食品,TOPIX Small 2,プライム（内国株式）,False,97,98.0
2024-08-07,2445.0,1,0,0,61.61676736177952,93.89022299799153,,True,False,False,True,0,1300,1,1,2599,ジャパンフーズ,食料品,食品,TOPIX Small 2,スタンダード（内国株式）,False,99,99.0
2024-08-07,3880.0,1,1,0,8.854156831540404,9.820618529372146,,False,False,True,False,25400,0,-1,-1,2676,高千穂交易,卸売業,商社・卸売,TOPIX Small 2,プライム（内国株式）,False,87,85.0
2024-08-07,3785.0,1,0,0,37.14540637543821,39.98220338137748,,False,False,True,False,88800,0,-1,-1,2698,キャンドゥ,小売業,小売,TOPIX Small 2,スタンダード（内国株式）,False,98,97.0
2024-08-07,718.0,1,0,0,16.27585044533506,14.624183969288179,,False,False,False,True,0,109500,-1,-1,2735,ワッツ,小売業,小売,TOPIX Small 2,スタンダード（内国株式）,False,93,90.0
2024-08-07,3155.0,1,0,0,20.69794270894716,24.191546190058165,,False,False,False,True,0,277200,-1,1,2782,セリア,小売業,小売,-,スタンダード（内国株式）,False,95,94.0
2024-08-07,10850.0,1,0,0,39.447970670502386,50.55246257793192,,False,False,True,False,91900,0,1,1,2791,大黒天物産,小売業,小売,TOPIX Small 1,プライム（内国株式）,False,98,98.0
2024-08-07,4900.0,1,0,0,17.929242333706185,18.166806828946807,,False,False,False,True,0,7600,-1,-1,2805,ヱスビー食品,食料品,食品,-,スタンダード（内国株式）,False,94,92.0
2024-08-07,3547.0,1,0,0,27.772465502539777,29.45678705087006,,False,False,True,False,237100,0,-1,-1,2809,キユーピー,食料品,食品,TOPIX Mid400,プライム（内国株式）,False,97,95.0
2024-08-07,3085.0,1,0,0,33.250517865286675,36.214837196295406,,False,False,False,False,0,0,1,1,2899,永谷園ホールディングス,食料品,食品,TOPIX Small 2,プライム（内国株式）,False,97,96.0
2024-08-07,210.0,1,0,0,35.694736574549864,34.96223252267354,,False,False,False,False,0,0,-1,-1,2901,ウェルディッシュ,食料品,食品,-,スタンダード（内国株式）,False,98,96.0
2024-08-07,2070.0,1,0,0,14.486284902120094,18.99554377897889,,False,False,True,False,46500,0,-1,-1,2915,ケンコーマヨネーズ,食料品,食品,TOPIX Small 2,プライム（内国株式）,False,92,92.0
2024-08-07,2246.0,1,0,0,43.236411154224186,45.842288169721314,,False,False,True,False,3337700,0,1,1,3064,ＭｏｎｏｔａＲＯ,小売業,小売,TOPIX Mid400,プライム（内国株式）,False,98,97.0
2024-08-07,4259.0,1,0,0,26.746615354784087,37.27539274834747,,False,False,True,False,1645700,0,-1,1,3092,ＺＯＺＯ,小売業,小売,TOPIX Mid400,プライム（内国株式）,False,96,96.0
2024-08-07,309.0,1,0,0,55.0909507586937,55.48193952665845,,False,False,False,True,0,5899700,1,-1,3103,ユニチカ,繊維製品,素材・化学,TOPIX Small 2,プライム（内国株式）,False,99,98.0
2024-08-07,2925.0,1,1,0,29.174093972102888,29.68533143463199,,False,False,True,False,68900,0,-1,-1,3139,ラクト・ジャパン,卸売業,商社・卸売,TOPIX Small 2,プライム（内国株式）,False,97,95.0
2024-08-07,475.0,1,0,0,21.199974229951057,22.51587925575713,,True,False,True,False,15800,0,-1,1,3261,グランディーズ,不動産業,不動産,-,グロース（内国株式）,False,95,94.0
2024-08-07,5018.0,1,0,0,11.29031343463014,2.2124460585002286,,False,False,True,False,293700,0,-1,-1,3288,オープンハウスグループ,不動産業,不動産,TOPIX Mid400,プライム（内国株式）,False,90,74.0
2024-08-07,2534.0,1,1,0,43.91211466916385,42.595722649344594,,False,False,True,False,613600,0,1,-1,3328,ＢＥＥＮＯＳ,小売業,小売,TOPIX Small 2,プライム（内国株式）,False,98,97.0
2024-08-07,597.0,1,0,0,46.92500147102676,40.316154874157746,,False,False,True,False,16200,0,-1,-1,3474,Ｇ－ＦＡＣＴＯＲＹ,不動産業,不動産,-,グロース（内国株式）,False,99,97.0
2024-08-07,755.0,1,0,0,40.06590660223062,44.993408726850994,,True,False,True,False,501300,0,1,1,3529,アツギ,繊維製品,素材・化学,TOPIX Small 2,スタンダード（内国株式）,False,98,97.0
2024-08-07,4170.0,1,1,0,17.918519629332486,19.01067453927727,,False,False,True,False,108800,0,-1,-1,3593,ホギメディカル,繊維製品,素材・化学,TOPIX Small 1,プライム（内国株式）,False,94,92.0
2024-08-07,1504.0,1,0,0,58.43483905876645,58.923708100131456,,False,False,True,False,114200,0,1,1,3623,ビリングシステム,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,False,99,98.0
2024-08-07,281.0,1,1,0,33.4229595308871,33.24642794555757,,False,False,True,False,3829300,0,-1,-1,3667,ｅｎｉｓｈ,情報・通信業,情報通信・サービスその他,TOPIX Small 2,スタンダード（内国株式）,False,97,96.0
2024-08-07,576.0,1,1,0,6.883633473795636,6.034673880710089,,False,False,True,False,342200,0,-1,-1,3673,ブロードリーフ,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,83,81.0
2024-08-07,4180.0,1,0,0,16.31684795225594,17.896313067727053,,False,False,True,False,1700,0,-1,-1,3712,情報企画,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,False,94,92.0
2024-08-07,3635.0,1,0,0,74.76554404599838,84.51758152673811,,False,False,True,False,276100,0,-1,1,3738,ティーガイア,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,99,99.0
2024-08-07,2036.0,1,1,0,17.038119079496393,20.776779413230102,,False,False,True,False,145800,0,1,1,3762,テクマトリックス,情報・通信業,情報通信・サービスその他,TOPIX Small 1,プライム（内国株式）,False,94,93.0
2024-08-07,2857.0,1,0,0,21.650363485340396,17.102629075381078,,False,False,True,False,326800,0,-1,-1,3765,ガンホー・オンライン・エンターテイメント,情報・通信業,情報通信・サービスその他,TOPIX Mid400,プライム（内国株式）,False,95,91.0
2024-08-07,541.0,1,0,0,92.59962640333566,129.23275893679482,,False,False,True,False,85900,0,-1,-1,3815,メディア工房,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,False,99,99.0
2024-08-07,1561.0,1,0,0,40.198007202070585,47.71420400421746,,False,False,True,False,224400,0,-1,-1,3841,ジーダット,情報・通信業,情報通信・サービスその他,-,スタンダード（内国株式）,False,98,98.0
2024-08-07,2581.0,1,1,0,20.6157435600719,23.7038734076673,,False,False,True,False,453900,0,1,1,4092,日本化学工業,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,False,95,94.0
2024-08-07,2952.0,1,0,0,16.433078708233428,17.80008463403359,,False,False,False,True,0,1566000,-1,-1,4151,協和キリン,医薬品,医薬品,TOPIX Mid400,プライム（内国株式）,True,94,92.0
2024-08-07,868.0,1,0,0,34.50851992549322,34.0460020577003,,False,False,False,False,0,0,-1,1,4215,タキロンシーアイ,化学,素材・化学,TOPIX Small 2,プライム（内国株式）,False,98,96.0
2024-08-07,2425.0,1,1,0,15.524076698561572,17.355952736321793,,False,False,True,False,21700,0,-1,-1,4258,網屋,情報・通信業,情報通信・サービスその他,-,グロース（内国株式）,False,93,91.0
