Date,mtt_on,mtt_off,mtt_condition,is_52w_high,is_52w_low,is_advance,is_decline,volume_advance,volume_decline
2010-10-12,9,23,118,16,291,317,1897,36384186,2620976452
2010-10-13,7,11,114,13,290,685,1361,333436748,2014559151
2010-10-14,18,5,127,17,201,1141,900,2613730846,326455836
2010-10-15,2,20,109,18,330,535,1563,252828369,1914634109
2010-10-18,12,5,116,14,288,1197,818,1406817651,411086715
2010-10-19,10,9,117,10,184,1115,917,1247277151,353507246
2010-10-20,11,22,106,7,359,857,1160,780917855,1188045540
2010-10-21,9,13,102,8,358,657,1400,1149536777,956899708
2010-10-22,19,9,112,7,246,1327,737,938517411,603354554
2010-10-25,6,16,102,8,259,686,1417,937168650,655305889
2010-10-26,10,15,97,11,274,873,1177,407885412,1375910642
2010-10-27,16,14,99,10,291,816,1260,447356163,1604385396
2010-10-28,11,15,95,14,388,772,1324,515830675,1911810629
2010-10-29,13,11,97,16,466,803,1348,741092803,1149888422
2010-11-01,9,17,89,18,416,821,1256,1667798118,1041187594
2010-11-02,8,15,82,7,393,720,1296,1045669129,661153424
2010-11-04,17,9,90,12,173,1334,732,1708916285,575008579
2010-11-05,26,2,114,23,86,1542,623,1515994094,812334785
2010-11-08,16,8,122,22,80,1226,862,1262284216,575738993
2010-11-09,8,14,116,24,70,1134,925,1325414266,549497612
2010-11-10,15,11,120,24,56,1569,578,2368884646,308850655
2010-11-11,13,11,122,22,33,1149,936,841298198,1686705771
2010-11-12,10,14,118,22,50,825,1270,414972537,1543497199
2010-11-15,8,14,112,15,39,1051,988,541795349,1112988149
2010-11-16,11,11,112,20,48,611,1496,267147214,2309397107
2010-11-17,8,9,111,15,49,1554,514,1388270604,110497317
2010-11-18,26,4,133,33,32,1853,391,2396155429,67040398
2010-11-19,12,8,137,43,28,767,1447,441072539,1910773874
2010-11-22,17,4,150,36,24,1279,873,1158671157,755578598
2010-11-24,12,16,146,29,21,1556,650,2185001397,235853654
2010-11-25,21,5,162,39,15,1119,1090,512152936,1438627223
2010-11-26,12,22,152,31,15,753,1365,509907982,1179013140
2010-11-29,22,11,163,44,18,1321,829,1086376887,551447235
2010-11-30,12,22,153,25,26,504,1690,156361851,1915487241
2010-12-01,19,10,162,37,20,1340,715,1125310711,546217486
2010-12-02,22,6,178,50,12,947,1188,864174700,955101827
2010-12-03,13,10,181,48,13,858,1228,771467967,997337775
2010-12-06,15,13,183,58,18,1479,691,838686041,668067971
2010-12-07,10,7,186,61,17,1178,906,790691047,1011541158
2010-12-08,9,10,185,74,17,1593,654,1697583002,380903950
2010-12-09,7,11,181,74,12,1125,1062,1157915929,1253874047
2010-12-10,5,7,179,55,14,899,1326,1483277620,2142285775
2010-12-13,19,9,189,84,22,1772,550,1844981059,114468278
2010-12-14,16,10,195,111,15,1610,665,1256931785,1517550680
2010-12-15,13,9,199,116,14,1102,1119,1697008904,891356430
2010-12-16,9,13,195,99,20,1270,933,1139128389,792132016
2010-12-17,17,7,205,77,21,1117,1125,1146157470,1028970269
2010-12-20,9,15,199,80,15,725,1548,963159749,1091558437
2010-12-21,9,7,201,73,16,1424,804,2060878335,247725823
2010-12-22,12,15,198,78,18,859,1420,1667396516,645624499
2010-12-24,11,7,202,57,25,963,1326,1045781422,494544425
2010-12-27,8,9,201,62,26,1174,1103,876880837,391334854
2010-12-28,12,13,200,66,19,1098,1009,248081654,747833571
2010-12-29,15,3,212,70,17,1684,509,971454590,1133880884
2010-12-30,10,15,207,65,16,776,1431,176824604,1454453045
2011-01-04,24,6,225,141,10,1456,752,846885798,910149118
2011-01-05,6,6,225,129,8,1188,980,704906873,1026159337
2011-01-06,11,3,233,177,7,1381,869,1298218336,699295578
2011-01-07,14,6,241,152,6,1060,1167,1304812245,899243873
2011-01-11,13,6,248,188,8,1515,761,851157305,856718173
2011-01-12,12,13,247,231,8,734,1607,931387048,1118093049
2011-01-13,13,5,255,141,7,1141,1108,858052759,1257829531
2011-01-14,12,7,260,121,8,1001,1296,929033485,1659759700
2011-01-17,10,9,261,146,9,851,1378,301750937,1658958506
2011-01-18,21,11,271,115,9,1244,998,1219503078,295168636
2011-01-19,14,10,275,145,9,1229,1006,963836132,713388460
2011-01-20,18,12,281,106,10,721,1535,336818112,1646414946
2011-01-21,9,24,266,60,14,225,2232,101728371,2457612990
2011-01-24,21,10,277,44,12,1469,762,1086554558,889485040
2011-01-25,20,3,294,87,9,1650,624,2195128598,276158342
2011-01-26,12,6,300,63,7,699,997,792915585,845479406
2011-01-27,19,5,314,97,8,1289,881,1267672747,529009653
2011-01-28,10,17,307,84,9,542,1672,587635524,1379399272
2011-01-31,7,19,295,59,18,1265,967,1099787157,995246802
2011-02-01,32,10,317,91,17,1020,1092,1144989495,770665815
2011-02-02,18,8,327,147,16,1491,731,2079173084,385694630
2011-02-03,15,15,327,111,18,1102,1055,1074261697,863444968
2011-02-04,20,7,340,154,10,1224,957,1206162730,977207640
2011-02-07,24,11,353,214,15,1195,1058,609985932,1270788821
2011-02-08,19,12,360,200,11,844,1426,1084569714,1584021278
2011-02-09,23,11,372,145,13,841,1391,1371775929,1132922484
2011-02-10,28,11,389,111,11,1430,795,1591041866,942158860
2011-02-14,25,13,401,207,14,1375,940,1050905869,491265433
2011-02-15,28,10,419,227,13,1082,1142,1638953232,580338193
2011-02-16,24,11,432,202,16,1106,1156,1872297226,510368260
2011-02-17,26,9,449,189,12,1167,1099,1665880476,1072968795
2011-02-18,26,12,463,157,10,1031,1154,814774525,1142201951
2011-02-21,27,16,473,174,8,1162,1122,1392217896,564702714
2011-02-22,19,44,449,92,9,483,1868,243170998,2166660933
2011-02-23,32,35,446,65,13,1184,1026,970727298,1536152251
2011-02-24,16,79,383,36,14,448,1931,773906227,1922041077
2011-02-25,46,19,410,38,16,1689,613,2114300835,228428676
2011-02-28,75,10,475,83,14,1730,553,2391706920,201011990
2011-03-01,55,17,513,132,7,1409,816,2072274148,314776524
2011-03-02,31,73,471,61,11,580,1680,893292495,2009679413
2011-03-03,52,19,504,85,11,1379,766,1964210470,307433800
2011-03-04,66,12,558,143,12,709,1547,456786224,1690617807
2011-03-07,21,66,513,107,16,555,1730,301672345,1735699940
2011-03-08,21,29,505,57,16,650,1043,423222796,1129698871
2011-03-09,28,20,513,80,12,808,1359,1138084822,889544828
2011-03-10,21,82,452,61,20,362,1962,502975314,1519082270
2011-03-11,16,86,382,25,31,739,1516,1436497118,2117726638
2011-03-14,11,203,190,75,539,1233,623,3188497493,963180086
2011-03-15,10,156,44,45,1590,159,2314,905563802,4522399349
2011-03-16,29,8,65,19,512,2147,427,3652439091,1910844633
2011-03-17,16,11,70,15,179,2284,224,4532393623,73900813
2011-03-18,54,6,118,20,25,2068,434,1730482014,1775292420
2011-03-22,100,3,215,68,11,1505,966,2827769521,919608151
2011-03-23,47,28,234,91,9,907,1499,864197390,2663938836
2011-03-24,37,25,246,98,9,891,1527,716448805,2252630571
2011-03-25,45,20,271,110,9,642,1772,1433020815,1604688792
2011-03-28,35,28,278,59,9,992,1390,1547738289,1027986918
2011-03-29,30,63,245,30,13,1570,749,2032341114,695910614
2011-03-30,76,10,311,46,9,1783,549,2262220288,496353386
2011-03-31,47,17,341,50,9,1222,1056,706412648,2091784445
2011-04-01,35,38,338,42,10,708,1580,451764100,2368544843
2011-04-04,24,25,337,39,9,720,1585,330158360,1937180760
2011-04-05,20,77,280,24,12,323,2081,1008381917,1854369580
2011-04-06,19,40,259,19,20,496,1806,1281138353,1959970383
2011-04-07,22,27,254,24,16,785,1439,711228780,1702277135
2011-04-08,38,15,277,17,16,1933,370,2222270718,649700840
2011-04-11,45,18,304,24,11,1379,837,1439650820,551880090
2011-04-12,16,48,272,16,12,601,1640,512104052,1612812629
2011-04-13,29,19,282,22,14,1682,551,1501417236,601964370
2011-04-14,51,11,322,39,11,1698,537,1305693934,916621422
2011-04-15,27,16,333,36,8,862,1321,575387572,1304231859
2011-04-18,28,25,336,39,17,865,1308,875594768,1029707071
2011-04-19,17,31,322,22,17,1059,1117,902379889,923516397
2011-04-20,46,18,350,24,13,1167,1041,975615522,758656833
2011-04-21,32,18,364,25,18,770,1448,795367920,876799132
2011-04-22,50,23,391,22,20,1292,951,1226640744,678044735
2011-04-25,37,34,394,36,19,923,1298,645417478,559732877
2011-04-26,24,49,369,31,23,653,1575,730567563,872332128
2011-04-27,55,26,398,25,24,962,1235,695642109,1215346440
2011-04-28,77,20,455,39,17,1449,762,1900173731,383797312
2011-05-02,78,17,516,51,11,1118,658,1455558261,498140304
2011-05-06,52,53,515,30,12,1080,681,1519823357,480421316
2011-05-09,26,32,509,39,11,520,1254,505468988,1259419141
2011-05-10,50,42,517,43,15,1178,1023,1176162519,708821519
2011-05-11,58,30,545,44,12,751,1483,712592589,1824690564
2011-05-12,35,66,514,23,18,800,1404,813065599,1201022549
2011-05-13,20,123,411,20,29,413,1948,1188000217,1792167812
2011-05-16,20,96,335,21,33,660,1587,343854456,2177829413
2011-05-17,31,49,317,15,31,1038,1146,874106900,1127562277
2011-05-18,69,15,371,22,19,1580,563,1246585339,551951136
2011-05-19,41,46,366,28,28,559,1660,420071490,1336574760
2011-05-20,31,38,359,25,30,828,1324,765582915,668028652
2011-05-23,15,59,315,17,38,625,1605,326053564,1339493090
2011-05-24,30,28,317,13,35,1459,687,1715343005,205523705
2011-05-25,28,37,308,15,27,657,1555,834348984,821514242
2011-05-26,50,19,339,17,24,1265,826,910799097,747987171
2011-05-27,22,32,329,24,24,1059,1056,1016011303,400377056
2011-05-30,26,12,343,30,30,1051,660,712567986,636605611
2011-05-31,54,12,385,42,17,1465,339,2082049880,144753323
2011-06-01,55,29,411,52,14,1034,1108,825319271,1253191347
2011-06-02,17,62,366,17,25,1134,906,1326191286,648474556
2011-06-03,18,53,331,35,27,498,1690,221535890,1573120167
2011-06-06,16,53,294,24,53,630,1565,818442033,1125007910
2011-06-07,28,23,299,32,52,1527,583,1152009801,357825124
2011-06-08,44,19,324,40,36,1095,972,1170602713,581813953
2011-06-09,23,20,327,44,55,1067,1029,1628234206,439890229
2011-06-10,32,20,339,45,20,916,1212,1059460000,1906102648
2011-06-13,29,35,333,52,36,1359,815,839663604,1188075501
2011-06-14,63,16,380,61,26,1618,632,1440550854,247266791
2011-06-15,33,26,387,52,19,920,1245,1441228047,936230260
2011-06-16,23,52,358,40,25,777,1363,606706261,1457811847
2011-06-17,20,49,329,30,37,486,1771,180029721,2135676110
2011-06-20,32,20,341,30,30,1034,1111,598337833,1500992170
2011-06-21,47,15,373,19,19,1395,720,1299290201,456648307
2011-06-22,62,14,421,40,13,1655,560,2034937676,272418693
2011-06-23,28,43,406,39,13,1256,932,1068448479,553303406
2011-06-24,52,20,438,33,10,1454,754,1341792014,424153027
2011-06-27,38,37,439,39,11,810,1407,743165662,1026488262
